2018-03-19 02:18:04 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:18:04 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:18:04 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:18:04 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-19 02:18:04 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:18:04 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:18:04 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:18:04 INFO  Main:57 - Program is end!
2018-03-19 02:24:06 INFO  Main:26 - Starting program_____________________________
2018-03-19 02:24:06 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-19 02:24:06 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-19 02:24:06 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:24:06 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:24:06 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:24:06 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-19 02:24:06 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:24:06 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:24:06 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:24:07 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:24:07 INFO  Main:57 - Program is end!
2018-03-19 02:24:38 INFO  Main:26 - Starting program_____________________________
2018-03-19 02:24:38 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-19 02:24:38 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-19 02:24:38 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:24:38 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:24:38 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:24:38 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-19 02:24:38 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:24:38 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:24:38 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:24:38 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:24:38 INFO  Main:58 - Program is end!
2018-03-19 02:25:15 INFO  Main:26 - Starting program_____________________________
2018-03-19 02:25:15 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-19 02:25:15 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-19 02:25:15 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:25:15 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:25:15 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:25:15 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-19 02:25:15 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:25:15 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:25:15 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:25:16 INFO  Main:58 - Program is end!
2018-03-19 02:26:37 INFO  Main:26 - Starting program_____________________________
2018-03-19 02:26:37 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-19 02:26:37 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-19 02:26:37 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:26:37 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:26:37 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:26:37 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-19 02:26:37 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-19 02:26:37 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-19 02:26:37 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-19 02:26:38 INFO  Main:56 - Program is end!
2018-03-21 01:46:59 INFO  Main:31 - Starting program_____________________________
2018-03-21 01:46:59 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 01:46:59 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 01:46:59 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 01:46:59 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 01:46:59 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 01:46:59 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 01:46:59 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 01:46:59 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 01:46:59 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:04:33 INFO  Main:31 - Starting program_____________________________
2018-03-21 02:04:33 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:04:33 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:04:33 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:04:33 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:04:33 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:04:33 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 02:04:33 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:04:33 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:04:33 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:04:33 INFO  Main:73 - Program is end!
2018-03-21 02:21:34 INFO  Main:35 - Starting program_____________________________
2018-03-21 02:21:34 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:21:34 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:21:34 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:21:34 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:21:34 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:21:34 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 02:21:34 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:21:34 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:21:34 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:22:04 INFO  Main:35 - Starting program_____________________________
2018-03-21 02:22:04 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:22:04 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:22:04 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:22:04 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:22:04 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:22:04 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 02:22:04 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:22:04 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:22:04 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:22:04 INFO  Main:85 - Program is end!
2018-03-21 02:40:49 INFO  Main:36 - Starting program_____________________________
2018-03-21 02:40:49 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:40:49 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:40:49 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:40:49 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:40:49 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:40:49 INFO  LibraryMan:40 - Метод сортировки библиотеки класс libraryMan
2018-03-21 02:40:49 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:40:49 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
2018-03-21 02:40:49 INFO  Catalogue:25 - Метод talksUrselfВред бомжей 190 ООО МИнскЗаБомжей
2018-03-21 02:40:49 INFO  Main:91 - Program is end!
2018-03-21 02:49:37 INFO  Main:39 - Starting program_____________________________
2018-03-21 02:49:37 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:49:37 INFO  factoryClass:15 - Запрос у фабрики на создание элемента 
2018-03-21 02:49:37 INFO  LibraryMan:23 - Метод вывода библиотеки класс libraryMan
2018-03-21 02:49:37 INFO  book:26 - Метод talksUrself1000 лье под водой 1200 Жьль верн
